,0
Constant,0.44894890729520176
Constant_1,0.23753866776003024
Constant_2,0.43200900216318927
Constant_3,0.18373869060769776
Constant_4,0.43226231657381026
Dense,2.0
Dense_1,1.0
Dense_2,1.0
Dense_3,0.0
alpha,0.0720371514769807
alpha_1,0.18857575750984173
alpha_2,0.08203926059568292
alpha_3,0.07681720147828022
alpha_4,0.1452105833758761
beta_1,0.8968096217944816
beta_1_1,0.9172374820824993
is_relu,0.0
is_relu_1,0.0
is_relu_2,1.0
is_relu_3,0.0
lr,0.0008759305600879901
nh_relu,1.0
nh_relu_1,0.0
nh_relu_2,2.0
