PassengerId,Age,Fare,Sex,ttl,fgrp,famsize,Ticket,Pclass,Embarked,Survived,pp_0,pp_1
902,3.126059876923826,2.0663309725297405,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
914,3.0848915236665495,3.4557897281879213,1,2,0,0,0,0,1,1,0.18029039984971268,0.8197096001502873
921,2.8873225911407534,3.0763532755216065,0,1,3,2,22,2,0,0,0.8369888141728653,0.16301118582713472
925,1.9970996150094842,1.7685761337723978,1,2,5,3,193,2,1,1,0.19562795173583686,0.8043720482641632
928,3.126059876923826,2.0856720914304723,1,3,0,0,0,2,1,1,0.23819884724735463,0.7618011527526454
931,3.111507258237529,1.9547247574262951,0,1,1,0,36,2,1,0,0.8369888141728653,0.16301118582713472
933,3.0848915236665495,3.279029747687948,0,1,0,0,0,0,1,0,0.8369888141728653,0.16301118582713472
939,3.126059876923826,2.0476928433652555,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
946,3.126059876923826,2.745936691242355,0,1,0,0,0,1,0,0,0.8369888141728653,0.16301118582713472
950,2.8873225911407534,2.0856720914304723,0,1,3,1,121,2,1,0,0.8239246827114691,0.1760753172885309
957,3.111507258237529,2.3513752571634776,1,2,1,0,206,1,1,1,0.22306081764116903,0.776939182358831
968,3.126059876923826,2.0856720914304723,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
975,3.126059876923826,2.0663309725297405,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
976,3.126059876923826,2.371019141701962,0,1,0,0,0,1,2,0,0.8369888141728653,0.16301118582713472
977,2.8873225911407534,1.977837849205252,0,1,3,1,207,2,0,0,0.7846264268336833,0.2153735731663166
980,3.126059876923826,2.0476928433652555,1,3,0,0,0,2,2,1,0.18029039984971268,0.8197096001502873
983,3.126059876923826,2.0509134580652977,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
985,3.126059876923826,2.0856720914304723,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
994,3.126059876923826,2.0476928433652555,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
999,3.126059876923826,2.0476928433652555,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
1000,3.126059876923826,2.1647587760866425,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1003,3.126059876923826,2.0514535051396674,1,3,0,0,0,2,2,1,0.18029039984971268,0.8197096001502873
1008,3.126059876923826,1.8621402659898545,0,1,0,0,0,2,0,0,0.8369888141728653,0.16301118582713472
1013,3.126059876923826,2.0476928433652555,0,1,2,1,0,2,2,0,0.8369888141728653,0.16301118582713472
1016,3.126059876923826,2.0476928433652555,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
1019,2.8873225911407534,2.0476928433652555,1,3,3,2,108,2,2,1,0.18029039984971268,0.8197096001502873
1024,1.9789694953768473,1.6279338039699316,1,2,5,4,70,2,1,0,0.8528667654216697,0.1471332345783304
1025,3.126059876923826,1.8621402659898545,0,1,2,1,0,2,0,0,0.8369888141728653,0.16301118582713472
1038,3.0699209433200196,3.255448805099041,0,1,1,0,3,0,1,0,0.8369888141728653,0.16301118582713472
1040,3.0848915236665495,3.279029747687948,0,1,0,0,0,0,1,0,0.8369888141728653,0.16301118582713472
1043,3.126059876923826,2.0663309725297405,0,1,0,0,0,2,0,0,0.8369888141728653,0.16301118582713472
1052,3.126059876923826,2.0455356796500372,1,3,0,0,0,2,2,1,0.18029039984971268,0.8197096001502873
1055,3.126059876923826,1.9459101490553132,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1060,3.0848915236665495,3.32218303393412,1,2,0,0,0,0,0,1,0.18029039984971268,0.8197096001502873
1062,3.126059876923826,2.0215475632609334,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1065,3.126059876923826,1.9781283799793465,0,1,0,0,0,2,0,0,0.8369888141728653,0.16301118582713472
1075,3.126059876923826,2.0476928433652555,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
1080,1.7125446419853634,4.242045918369452,1,3,5,8,65,2,1,0,0.8369888141728653,0.16301118582713472
1083,3.0848915236665495,3.258096538021482,0,1,0,0,0,0,1,0,0.8369888141728653,0.16301118582713472
1091,3.126059876923826,2.0934060820302083,1,2,0,0,0,2,1,1,0.40925012719032405,0.590749872809676
1092,3.111507258237529,2.0476928433652555,1,3,1,0,184,2,2,1,0.22344668271349022,0.7765533172865098
1097,3.0848915236665495,3.2481122450531466,0,1,0,0,0,0,0,0,0.8369888141728653,0.16301118582713472
1103,3.126059876923826,1.9530276168241774,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1108,3.126059876923826,2.0642263758733557,1,3,0,0,0,2,2,1,0.18029039984971268,0.8197096001502873
1111,3.126059876923826,2.0856720914304723,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1117,2.1281421508492917,2.7243040552851014,1,2,5,2,33,2,0,1,0.22738986286973933,0.7726101371302607
1119,3.126059876923826,2.0476928433652555,1,3,0,0,0,2,2,1,0.18029039984971268,0.8197096001502873
1125,3.126059876923826,2.0642263758733557,0,1,0,0,0,2,2,0,0.8369888141728653,0.16301118582713472
1135,3.126059876923826,2.0652792278673315,0,1,0,0,0,2,1,0,0.8369888141728653,0.16301118582713472
1136,2.044302592188467,1.7685761337723978,0,4,5,3,193,2,1,1,0.18457532223427273,0.8154246777657272
1141,2.8873225911407534,1.977837849205252,1,2,3,1,207,2,0,1,0.23970311903378075,0.7602968809662192
